Country,HE2002,HE2010,HE2018
Monaco,1843.0,2912.0,2983.0
Mongolia,211.0,282.0,519.0
Montenegro,,,1711.0
Morocco,180.0,376.0,467.0
Mozambique,21.0,54.0,118.0
Myanmar,31.0,66.0,292.0
Namibia,563.0,827.0,883.0
Nauru,742.0,710.0,1174.0
Nepal,58.0,97.0,180.0
Netherlands,2987.0,4585.0,5635.0
New Zealand,1834.0,2983.0,4024.0
Nicaragua,163.0,300.0,474.0
Niger,45.0,55.0,78.0
Nigeria,72.0,167.0,233.0
Niue,760.0,1363.0,1405.0
North Macedonia,566.0,757.0,1073.0
Norway,3429.0,5194.0,6818.0
Oman,1159.0,1219.0,1730.0
Pakistan,86.0,104.0,178.0
Palau,882.0,1553.0,2012.0
Panama,614.0,1085.0,1857.0
Papua New Guinea,84.0,64.0,101.0
Paraguay,264.0,441.0,935.0
Peru,283.0,470.0,767.0
Philippines,97.0,236.0,394.0
Poland,716.0,1353.0,2015.0
Portugal,1747.0,2683.0,3242.0
Qatar,2262.0,2103.0,3166.0
South Korea,885.0,1879.0,3214.0
Moldova,197.0,470.0,480.0
Romania,326.0,976.0,1576.0
Russia,476.0,1087.0,1488.0
Rwanda,28.0,117.0,170.0
Saint Kitts and Nevis,837.0,1284.0,1556.0
Saint Lucia,506.0,612.0,611.0
Saint Vincent and the Grenadines,290.0,446.0,550.0
Samoa,181.0,284.0,355.0
San Marino,2798.0,3763.0,4340.0
São Tomé and Príncipe,175.0,172.0,214.0
Saudi Arabia,1382.0,1623.0,3520.0
Senegal,82.0,109.0,146.0
Serbia,548.0,1217.0,1485.0
Seychelles,663.0,947.0,1549.0
Sierra Leone,94.0,129.0,257.0
Singapore,1465.0,2268.0,4439.0
Slovakia,733.0,1949.0,2180.0
Slovenia,1624.0,2385.0,3158.0
Solomon Islands,130.0,189.0,108.0
South Africa,572.0,870.0,1129.0
South Sudan,,,114.0
Spain,1673.0,2894.0,3576.0
Sri Lanka,228.0,322.0,517.0
Sudan,90.0,209.0,293.0
Suriname,608.0,696.0,1180.0
Sweden,2543.0,3530.0,5828.0
Switzerland,3839.0,5481.0,8114.0
Syria,172.0,167.0,
Tajikistan,51.0,120.0,250.0
Thailand,273.0,448.0,723.0
East Timor,,126.0,353.0
Togo,33.0,72.0,109.0
Tonga,150.0,242.0,355.0
Trinidad and Tobago,810.0,1581.0,2100.0
Tunisia,347.0,602.0,912.0
Turkey,476.0,881.0,1171.0
Turkmenistan,317.0,487.0,1275.0
Tuvalu,367.0,484.0,758.0
Uganda,89.0,175.0,139.0
Ukraine,280.0,523.0,683.0
United Arab Emirates,2170.0,2103.0,3173.0
United Kingdom,2338.0,3645.0,4620.0
Tanzania,59.0,110.0,112.0
United States,5332.0,7930.0,10624.0
Uruguay,991.0,1445.0,2169.0
Uzbekistan,175.0,268.0,459.0
Vanuatu,80.0,97.0,109.0
Venezuela,842.0,1130.0,384.0
Vietnam,108.0,259.0,440.0
Yemen,163.0,231.0,
Zambia,125.0,122.0,208.0
Zimbabwe,,198.0,198.0
